Site,artifact #,Multi-Metal Composite Artifact Subdivision,objects per artifact number,Multi-Metal Description,Catalogue # (CMH),Accession # (PWNHC),Description,Primary Code Class,Secondary Code Class,Tertiary Code Class,Quaternary Code Class,Geographic Locale,Territory,length mm,width mm,ht/thickness mm,weight gm,pXRF,photos,"Include in Final for CAA (adjust as needed - missing or ? should be changed to no if it is obviously historic, otherwise include it)",Notes,xrf notes,flag to examine more,notes (bag),native/historic/unknown,XRF determination,Clean copper signal?,Research Year,Permit number,Curation Facility,Collection Date,Collector,Accession No,Area,Square/Unit,Level/Stratum,Feature,Other Provenience Detail,Provenience Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,228,,,,MkPk-3:228,,Copper bracelet,,10,,,,NWT,~105 (estimate around curve),17.69,1.45,1.9,y,1491,yes,"Small, curved strip.  Seems rather small for a bracelet, but it could be deformed (wound tighter than when it was manufactured).  Manufactured from nuggets, there are several places where the copper was folded over and hammered flat",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,246,,,,MkPk-3:246,,Copper point,,09,,,,NWT,47.42,11.5,2.98,0.6,y,1518,yes,Point blank.  This is an unfinished point.  It has not been sharpened/hammered to an edge.,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,247,,5,,MkPk-3:247,,Copper samples,,,,,,NWT,na,na,see notes,7.1,y,1634,yes,"5 pieces of copper.  1 is hammered nugget (thickness 2.89), 4 are hammered native sheet (3 of these are elongated).  Thickness of hammered native sheet is 0.87, 0.98, 0.58, 0.74.  Also 2 pieces of iron (very pourous, in left on photo).  Weight is combined (copper only)",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,249,,,,MkPk-3:249,,Copper ulo blade,,04,,,,NWT,46.76,28.99,1.67,7.5,y,1718,yes,"rough ulu blade.  Unsure if it is used/corroded or an unfinished piece.  Small hole near top, but looks natural.  Convex triangular with flat top",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,252,,2,,MkPk-3:252,,copper fragments,,,,,,NWT,na,na,see notes,11.6,y,1621,yes,"2 hammered nuggets of copper. thickness is 4.82, 1.81. wieght is combined - copper only.  1 piece is an iron blade blank (on the left in the photo)",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,255,,,,MkPk-3:255,,Copper pin,,06,,,,NWT,42.4,3.99,0.98,0.6,y,1587,yes,"possible pin, but very flat, slightly curved",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,256,,2,,MkPk-3:256,,2 copper fragments,,,,,,NWT,na,na,1.74,0.4,y,1598,yes,"1 hammered nugget (see measurements), 1 very flat nugget/expedient blade (0.88 mm thick)",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,268,,,,MkPk-3:268,,Copper pin,,06,,,,NWT,19.38,3,2.87,0.07,y,1692,yes,small pin,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,273,,,,MkPk-3:273,,Copper pin,,06,02,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,274,,,,MkPk-3:274,,Copper pin,,06,02,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,283,,2,,MkPk-3:283,,copper fragments,,,,,,NWT,na,na,2.27,6.3,y,1636,yes,"combined wieght.  1 hammered nugget, 1 production flake.  Measurements are of hammered nugget",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,290,,,,MkPk-3:290,,Asymmetric copper blade,,09,,,,NWT,58.41,8.51,2.76,4,y,1687,yes,"single edged blade with tang.  Tang has loop on the end (possible piece of cordage pinched in the loop).  Tip of blade is fractured and missing.  Straight back edge is blunt and squared off, convex edge is sharpened.",tried to take an xrf of the organics in the loop for fun.  Didn't show anything,the broken tip of this has a good example of the triangular cross section of the knife edge ,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,292,,,,MkPk-3:292,,Copper ulu blade,,04,,,,NWT,37.79,28.3,0.88,3.1,y,1735,yes,convex triangular ulu blade,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,296,,,,MkPk-3:296,,Copper barb,,06,02,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,299,,,,MkPk-3:299,,copper awl/tang tip,,06,,,,,40.88,8.45,6.37,8.4,y,1569,yes,rough/fractured awl/tang tip.  Relatively thick at fractured basal end,,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,300,,,,MkPk-3:300,,Copper barb,,06,,,,NWT,31.22,3.82,5.14,2.4,y,1711,yes,"square cross section awl, tapers to point, fractured tip",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,301,,3,,MkPk-3:301,,3 copper fragments,,,,,,NWT,29.32,7.3,3.65,0.5,y,1596,yes,"3 hammered fragments. One is a a rough awl form, the other two are amorphous hammered nuggets.  Measurements are of the rough 'awl'.  Thickenss of nuggets are 1.62, 1.08",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,303,,3,,MkPk-3:303,,copper fragments,,,,,,NWT,,,,0.1,y,1590,yes,"3 fragments, all hammered pretty flat.  1 has a sharp edge, the others are hammered nuggets. Weight is combined weight. Thickness 0.7, 2.16, 1.71",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,316,,,,MkPk-3:316,,Copper ulu blade,,04,,,,NWT,49.75,34.41,1.31,7.3,y,1746,yes,convex triangular ulu blade.  Apex has a projecting squared off flat section,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,326,,,,MkPk-3:326,,Worked copper fragment,,,02,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,352,,,,MkPk-3:352,,Copper pin,,13,,,,NWT,28.49,7.16,1.78,1.1,y,1762,yes,"weird little thing.  Possible small awl with flat gripping surface.  Could also be a very small knife blade blank.  Flat surface is blunt, point is very pointy",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,383,,,,MkPk-3:383,,Copper point,,09,,,,NWT,50.07,14.33,2.42,3.7,y,1707,yes,"artifact is labeled 'MkPk-3:38', but label in box is 'MkPk-3:383'.  Since theres no MkPk-3:38 on my list, it goes here.  Finished point - edges are sharpened",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,384,,,,MkPk-3:384,,Copper point,,09,,,,NWT,46.34,8.05,1.91,2.3,y,1615,yes,single edged blade with tang.  Tang appears to have broken off end loop.,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,385,,,,MkPk-3:385,,Copper tang,,02,,,,NWT,20.92,2.85,2.63,1.1,y,1778,yes,"possible fractured fish hook?  Square cross section, curved, fractured on the curve.  Unfractured end has a loop with possible organics trapped in the loop.  Looped end is a straight edge tip rather than a point",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,386,,,,MkPk-3:386,,Copper point,,09,,,,NWT,51.7,11.73,1.89,2.1,y,1750,yes,asymetrical point.  Seems halfway between a symetrical point and a single-edged blade.  Both edges are sharpened.,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,388,,,,MkPk-3:388,,Copper point,,,,,,NWT,48.65,12.52,2.43,3.4,y,1754,yes,point - sharpened,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,390,,2,,MkPk-3:390,,2 copper lumps,,01,,,,NWT,na,na,see notes,15.8,y,1720,yes,"2 fragments.  One is hammered native sheet, the other is a hammered nugget.  Sheet is 1.05 thick.  Wieght is combined",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,392,,,,MkPk-3:392,,Copper barb,,06,,,,NWT,50.45,4.47,4.7,6.1,y,1758,yes,"curved, square cross section barb/awl.  Fractured at both ends.  Possible hook fragment?",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,393,,,,MkPk-3:393,,Copper pin,,06,,,,NWT,23.91,3.14,2.09,0.6,y,1770,yes,"small pin/barb, rough",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,394,,4,,MkPk-3:394,, Copper flake,,,,,,NWT,na,na,see notes,3.9,y,1629,yes,"3 hammered sheet fragments, 1 production flake (hammered).  Thickness of hammered sheet fragments - 0.54, 0.86, 0.85",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,397,,,,MkPk-3:397,,Copper barb,,06,,,,NWT,46.36,5.51,3.55,4.2,y,1739,yes,rectangular cross section barb/awl.  Tapers to point at one end.  Other end is fractured,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,398,,2,,MkPk-3:398,, Copper flake,,01,,,,NWT,na,na,see notes,2.5,y,1631,yes,"1 production waste flake, 1 hammered nugget (small, could be waste flake. 2.5mm thick)",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,422,,,,MkPk-3:422,,Copper barb,,06,,,,NWT,60.52,3.63,2.85,2.8,y,1724,yes,barb/awl/thick needle. Pointed tips (slightly blunt),,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,423,,,,MkPk-3:423,,Copper triangle (pendant?),,10,,,,NWT,20.27,15.8,0.94,1,,1730,yes,"pendant (?) small triangular piece, looks similar to a very small convex triangular ulu blade.  Hole at the apex of the triangle that has broken where a cord might have attached.  Hole (1.32 mm dia) is likely to small for a rivet",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,426,,,,MkPk-3:426,,Copper bar,,01,,,,NWT,62.58,13.54,5.24,19.6,y,1677,yes,problem number.  Artifact labeled MkPk-3:3426.  Artifact catalogue for this site does not go this high.  It is assumed this is actually MkPk-3:426.  very rough bar.  Fractured on the thicker end.  Possible broken tang?  Delaminating in places where folds are coming loose.,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,432,,,,MkPk-3:432,,Copper gaff?,,13,,,,NWT,~230 (estimate around curve),10.01,6.35,72.2,y,1672,yes,"finely made.  U-shaped hook (i.e. - bend is directly in the middle and extreme).  Square in cross section on arms, rectangular in cross section in the ""U"" (probably intentional for structural integrity at the bend).  Band of hammered native sheet copper around the base of one of the points (at least one complete wrapping around, unsure of function).  One tip tapers to a point.  the other tapers to an edge, and is bent into a very small hook (again, unsure of function).  Length is 103.99 from point tip to 'U'.  width taken at base of U.  Arm with hooked end is thicker (rectangular in cross section 10.25 mm wide) than pointed arm (square in cross section - 7.62mm wide)",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,433,,,,MkPk-3:433,, Copper flake,,01,,,,NWT,15.96,3.12,0.83,<0.1,y,1644,yes,"very small, flat strap.  Almost similar to a flat needle fragment?",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,435,,,,MkPk-3:435,, Copper flake,,06,,,,NWT,30.83,6.44,2.3,0.4,y,781-785,yes,folded over on itself and pounded flat,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,436,,,,MkPk-3:436,,Copper pin,,06,,,,NWT,18.86,2.65,2.49,<0.1,y,786-789,yes,"small awl/pin, curved, length is flat length, not curved, appears to be rolled ",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,442,,,,MkPk-3:442,,Copper needle?,,06,,,,NWT,20.32,1.48,1.38,<0.1,y,790-793,yes,"small pin, square in cross section, tapers to a point at one end, other end failry blunt",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,464,,,,MkPk-3:464,, Copper flake,,01,,,,NWT,27.23,18.09,0.33,<0.1,y,794-796,yes,very flat sheet,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,469,,2,,MkPk-3:469,, copper flake,,,,,,NWT,19.85,10.55,2.33,0.3,yes,797-801,yes,"2 pieces, 2 flatish pieces, only 1 shot with xrf, second piece - 20.65, 10.10, 1.32, 0.1 gm",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,474,,,,MkPk-3:474,,Bent copper fragment,,02,,,,NWT,27.51,2.24,1.96,0.1,y,802-805,yes,"blunt pin/awl, square in cross section, bent at 90 angle (with curve), length measured straight, not curved",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,480,,,,MkPk-3:480,,Copper rod,,06,,,,NWT,92.35,5.85,3.77,2.8,y,809-814,yes,"rectangular cross section, appears to be rolled and pounded into rectangular cross section, tapers to a rough point at one end",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,481,,4,,MkPk-3:481,, copper flake,,01,,,,NWT,na,na,na,5,y,815-819,yes,"4 pieces - only 1 zapped, 3 appear to be hammered somewhat, one appears unaltered, weight is total for all 4",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,484,,,,MkPk-3:484,, Copper flake,,01,,,,NWT,12.75,13.63,2.04,0.3,y,859-863,yes,"flat piece, waste flake",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,487,,3,,MkPk-3:487,, copper flake,,01,,,,NWT,na,na,na,0.9,y,864-867,yes,"3 flat pieces, production flakes, weights are combined",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,489,,,,MkPk-3:489,,Copper barb,,06,02,,,NWT,,,,,,,missing,MISSING FROM COLLECTIONS,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,508,,,,MkPk-3:508,,Copper point,,09,,,,NWT,37.65,9.53,1.72,0.3,y,820-825,yes,"small tanged point, possibly 2 pieces joined ala Franklin (i.e. - cone aroung an awl)",,yes,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,509,,,,MkPk-3:509,, copper flake,,,,,,NWT,,,,,,,missing,MISSING FROM COLLECTIONS,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,512,,,,MkPk-3:512,,Copper barb,,01,,,,NWT,50.06,12.58,4.96,8.2,yes,826-832,yes,"rectangular blank, tapers at both ends, rectangular cross section",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,513,,,,MkPk-3:513,,Copper barb,,06,,,,NWT,40.7,4.39,3.55,0.6,y,839-843,yes,"awl, partial production fracture on one end",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,514,,4,,MkPk-3:514,, copper flake,,,,,,NWT,na,na,na,6.9,y,868-870,yes,"4 pieces - only 1 zapped, 2 appear to be hammered, 2 appear to be natural nuggets",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,521,,,,MkPk-3:521,,Copper sample,,01,,,,NWT,na,na,na,7.4,,844-849,yes,"2 flat pieces, one appears to be rounded on.  B is the larger, flatter piece.  A is smaller and slightly rounded on one edge.  Weight is a combined wieght",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,524,,,,MkPk-3:524,,Copper hook,,02,,,,NWT,33.57,2.75,2.8,0.4,y,833-838,yes,"fish hook, rectangular cross section.  Appears to be rolled and pounded into shape",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,525,,,,MkPk-3:525,,Small copper point,,09,,,,NWT,17.12,6.32,1.26,<0.1,y,908-912,yes,possible point with tang,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,543,,,,MkPk-3:543,,Copper barb,,01,,,,NWT,57.66,10.81,5.55,7.9,y,850-853,yes,"very rough awl, not uniform",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,544,,,,MkPk-3:544,,Copper barb,,06,,,,NWT,29.07,6.26,4.49,0.9,y,854-858,yes,"very rough awl form, possible blank",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,545,,,,MkPk-3:545,,Copper point,,03 or 09,,,,NWT,31.57,15.5,1.23,0.4,y,871-878,yes,"flat point, hole in the base for a rivet, notch in the base on one shoulder of the point (stabilizes point in haft?), rivet hole diameter - 2.82",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,546,,,,MkPk-3:546,,Copper fragment,,06,,,,NWT,15.53,1.65,1.8,<0.1,y,883-885,yes,"small pin, rough",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,550,,,,MkPk-3:550,,Copper barb,,01,,,,NWT,29.83,5.12,9.34,3.7,y,893-895,yes,rectangular blank,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,551,,,,MkPk-3:551,,Copper point,,03 or 09,,,,NWT,29.11,12.96,0.83,0.2,y,886-892,yes,"small, flat point with 2 VERY small holes, at least one hole appears drilled (circular) and the other is amorphous, but likely intentional",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,560,,,,MkPk-3:560,,Copper wire  NOT WIRE,,07,,,,NWT,42.78,1.47,1.55,0.1,y,896-902,yes,"curved pin (very thin), curved on both ends, possible large staple?, length is straight, not curved.  NOT COPPER WIRE",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,561,,,,MkPk-3:561,,Copper barb,,01,,,,NWT,39.55,9.5,3.7,2.2,y,903-907,yes,"blank or barb, tapered at one end",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,562,,3,,MkPk-3:562,,copper fragments,,,,,,NWT,20.42,2.15,1.94,<0.1,y,913-917,yes,"3 pieces, 1 is a needle and the other 2 are flat hammered pieces.  One of the flat pieces is potentially a point.  2 xrf shots, (a) is the needle, (b) is the possible point.  (b)measurements - 22.89, 9.28, 1.44, 0.2 gm.  Main measurements are for (a) - the needle",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,575,,,,MkPk-3:575,, Copper flake,,01,,,,NWT,28,9.88,1.74,0.4,y,879-882,yes,production flake?,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,586,,5,,MkPk-3:586,,Copper fragments,,,,,,NWT,na,na,na,3.8,y,927-930,yes,"6 pieces, all appear hammered, no obvious tool forms, although some are flat and rounded and others are long and skinny.  Wieght is combined total",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,589,,7,,MkPk-3:589,,copper fragments,,,,,,NWT,,,,,y,921-926,yes,"7 pieces - 3 needles (a and b, smallest needle not shot), 1 'awl' (c), 1 point(?)(d), 2 scraps (e and f).  Needles lengths - 21.86 (a), 20.19 (b) , 13.99.  Awl length - 16.96.  Wieght is 0.3 g for all (individually all are <0.01).  Needles are square to rectangular in cross section, 1.45 and 1.96 mm width.  XRF on one piece",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
